[1612273800000, '882000.00000000', '882000.00000000', '882000.00000000', '882000.00000000', '0.00000000', 1612274099999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612274100000, '882000.00000000', '882000.00000000', '882000.00000000', '882000.00000000', '0.00000000', 1612274399999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612274400000, '882000.00000000', '882000.00000000', '882000.00000000', '882000.00000000', '0.00000000', 1612274699999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612274700000, '882000.00000000', '882000.00000000', '882000.00000000', '882000.00000000', '0.00000000', 1612274999999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612275000000, '882000.00000000', '882000.00000000', '882000.00000000', '882000.00000000', '0.00000000', 1612275299999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612275300000, '882000.00000000', '882000.00000000', '882000.00000000', '882000.00000000', '0.00000000', 1612275599999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612275600000, '882000.00000000', '882000.00000000', '882000.00000000', '882000.00000000', '0.00000000', 1612275899999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612275900000, '882000.00000000', '882000.00000000', '882000.00000000', '882000.00000000', '0.00000000', 1612276199999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612276200000, '882000.00000000', '882000.00000000', '882000.00000000', '882000.00000000', '0.00000000', 1612276499999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612276500000, '852000.00000000', '852000.00000000', '702000.00000000', '702000.00000000', '0.00900000', 1612276799999, '6768.00000000', 6, '0.00000000', '0.00000000', '0']
[1612276800000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612277099999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612277100000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612277399999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612277400000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612277699999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612277700000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612277999999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612278000000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612278299999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612278300000, '882000.00000000', '882000.00000000', '882000.00000000', '882000.00000000', '0.00003800', 1612278599999, '33.51600000', 1, '0.00003800', '33.51600000', '0']
[1612278600000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00013400', 1612278899999, '94.06800000', 4, '0.00013400', '94.06800000', '0']
[1612278900000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612279199999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612279200000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612279499999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612279500000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612279799999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612279800000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612280099999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612280100000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612280399999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612280400000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00061200', 1612280699999, '429.62400000', 1, '0.00061200', '429.62400000', '0']
[1612280700000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612280999999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612281000000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612281299999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612281300000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00143800', 1612281599999, '1009.47600000', 3, '0.00143800', '1009.47600000', '0']
[1612281600000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612281899999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612281900000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00569600', 1612282199999, '3998.59200000', 4, '0.00569600', '3998.59200000', '0']
[1612282200000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612282499999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612282500000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612282799999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612282800000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612283099999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612283100000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612283399999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612283400000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612283699999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612283700000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00007000', 1612283999999, '49.14000000', 1, '0.00007000', '49.14000000', '0']
[1612284000000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612284299999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612284300000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612284599999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612284600000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612284899999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612284900000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612285199999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612285200000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612285499999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612285500000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612285799999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612285800000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612286099999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612286100000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612286399999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612286400000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612286699999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612286700000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612286999999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612287000000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612287299999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612287300000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612287599999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612287600000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00013300', 1612287899999, '93.36600000', 1, '0.00013300', '93.36600000', '0']
[1612287900000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612288199999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612288200000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612288499999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612288500000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612288799999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612288800000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612289099999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612289100000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612289399999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612289400000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612289699999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612289700000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00007000', 1612289999999, '49.14000000', 1, '0.00007000', '49.14000000', '0']
[1612290000000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612290299999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612290300000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00014100', 1612290599999, '98.98200000', 2, '0.00014100', '98.98200000', '0']
[1612290600000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00014100', 1612290899999, '98.98200000', 2, '0.00014100', '98.98200000', '0']
[1612290900000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00014200', 1612291199999, '99.68400000', 1, '0.00014200', '99.68400000', '0']
[1612291200000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612291499999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612291500000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612291799999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612291800000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00007100', 1612292099999, '49.84200000', 1, '0.00007100', '49.84200000', '0']
[1612292100000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00007100', 1612292399999, '49.84200000', 1, '0.00007100', '49.84200000', '0']
[1612292400000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612292699999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612292700000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612292999999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612293000000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612293299999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612293300000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00014200', 1612293599999, '99.68400000', 1, '0.00014200', '99.68400000', '0']
[1612293600000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00014200', 1612293899999, '99.68400000', 1, '0.00014200', '99.68400000', '0']
[1612293900000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612294199999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612294200000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612294499999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612294500000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00035600', 1612294799999, '249.91200000', 1, '0.00035600', '249.91200000', '0']
[1612294800000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00035600', 1612295099999, '249.91200000', 1, '0.00035600', '249.91200000', '0']
[1612295100000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00071200', 1612295399999, '499.82400000', 3, '0.00071200', '499.82400000', '0']
[1612295400000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00035600', 1612295699999, '249.91200000', 1, '0.00035600', '249.91200000', '0']
[1612295700000, '702000.00000000', '702000.00000000', '702000.00000000', '702000.00000000', '0.00000000', 1612295999999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612296000000, '709020.00000000', '772200.00000000', '709020.00000000', '772200.00000000', '0.00100000', 1612296299999, '767.77740000', 2, '0.00100000', '767.77740000', '0']
[1612296300000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00100000', 1612296599999, '772.20000000', 1, '0.00100000', '772.20000000', '0']
[1612296600000, '772200.00000000', '772200.00000000', '772200.00000000', '772200.00000000', '0.00400000', 1612296899999, '3088.80000000', 4, '0.00400000', '3088.80000000', '0']
[1612296900000, '772200.00000000', '772200.00000000', '764478.00000000', '764478.00000000', '0.00103200', 1612297199999, '796.72507200', 3, '0.00100000', '772.20000000', '0']
[1612297200000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612297499999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612297500000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612297799999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612297800000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612298099999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612298100000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612298399999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612298400000, '764478.00000000', '764478.00000000', '764478.00000000', '764478.00000000', '0.00000000', 1612298699999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
